-90.8409426987061, 3.696857670979668, 0, uptriangle
-89.85443622920516, 22.920517560073932, 0, downtriangle
-89.89103512014786, 14.787430683918672, 0, circle
-90.7735674676525, 18.66913123844732, 0, square
-47.514510166358605, 31.792975970425132, 1, uptriangle
-47.929574861367826, 39.556377079482445, 1, downtriangle
-46.673567467652504, 18.66913123844732, 1, circle
-46.673567467652504, 18.66913123844732, 1, square
-23.035674676524962, 71.53419593345657, 2, uptriangle
-25.784750462107183, 60.62846580406655, 2, downtriangle
-23.561367837338253, 54.71349353049908, 2, circle
-23.504805914972252, 67.28280961182995, 2, square
1.822458410351203, 95.5637707948244, 3, uptriangle
1.3716266173752558, 95.37892791127543, 3, downtriangle
1.3716266173752558, 95.37892791127543, 3, circle
1.3716266173752558, 95.37892791127543, 3, square
22.99824399260629, 101.2939001848429, 4, uptriangle
22.62892791127541, 19.223659889094264, 4, downtriangle
22.413493530499068, 71.34935304990759, 4, circle
21.522643253234747, 73.38262476894641, 4, square
44.2638632162662, 26.987060998151577, 5, uptriangle
45.03077634011095, -2.587800369685766, 5, downtriangle
44.691404805915, 21.996303142329012, 5, circle
44.20064695009245, 12.939001848428845, 5, square
91.44565619223664, 11.829944547134943, 6, uptriangle
89.24057301293902, 21.81146025878003, 6, downtriangle
88.24158964879854, -0.18484288354898126, 6, circle
88.24158964879854, -0.18484288354898126, 6, square
176.94399260628467, 11.460258780036966, 7, uptriangle
180.22624768946395, 40.85027726432533, 7, downtriangle
179.690573012939, 21.81146025878003, 7, circle
177.8140480591498, 4.8059149722735555, 7, square
